Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
11	a	sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	18.20	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	11	11	22	22	22	     0	     0	     0			
12	a	sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	9.40	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9987	2	3	3	3	3	3	3	     0	     0	     0	10C(57.0215), 3M(15.9949), 4C(57.0215), 7C(57.0215)		
13	a	sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	17.50	Homo sapiens OX=9606	Synaptosomal-associated protein 23 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	3	4	4	4	     0	     0	     0			
14	a	sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	30.90	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	9	9	9	14	14	14	     0	     0	     0	14M(15.9949), 2C(57.0215), 3C(57.0215)		
15	a	sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	6.00	Homo sapiens OX=9606	GTP-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9982	4	4	4	4	4	4	4	     0	     0	     0	12C(57.0215), 5C(57.0215)		
16	a	sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	6.60	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	2C(57.0215)		
17	a	sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	29.00	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	11	11	11	     0	     0	     0	13M(15.9949)		
18	a	sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	26.70	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	7	7	7	     0	     0	     0	11M(15.9949), 2C(57.0215), 6C(57.0215), 9M(15.9949)		
19	a	sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	42.40	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	18	20	20	20	31	31	31	     0	     0	     0	1C(57.0215), 2M(15.9949), 8C(57.0215)		
20	a	sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	27.60	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	18	18	18	     0	     0	     0	5C(57.0215), 6C(57.0215), 7C(57.0215)		
21	a	sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	30.00	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	9	9	9	     0	     0	     0	11C(57.0215), 4M(15.9949), 5C(57.0215)		
22	a	sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	615	4.90	Homo sapiens OX=9606	Menin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0			
23	a	sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	34.40	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	5	6	8	7	8	     0	     0	     0	6C(57.0215)		
24	a	sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	18.90	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	15	17	17	17	19	19	19	     0	     0	     0	7C(57.0215)		
25	a	sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	22.10	Homo sapiens OX=9606	DNA fragmentation factor subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	8	8	8	     0	     0	     0	9C(57.0215)		
26	a	sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	25.20	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	13	13	13	     0	     0	     0	2C(57.0215), 5M(15.9949)		
27	a	sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	7.20	Homo sapiens OX=9606	Pyruvate dehydrogenase protein X component, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9918	4	4	4	4	4	4	4	     0	     0	     0			
28	a	sp|O00400|ACATN_HUMAN	O00400	ACATN_HUMAN	SLC33A1	549	6.20	Homo sapiens OX=9606	Acetyl-coenzyme A transporter 1 	1:Experimental evidence at protein level	1.0000	0.9985	3	3	3	3	4	4	4	     0	     0	     0	10C(57.0215), 2C(57.0215), 8C(57.0215)		
29	a	sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	29.40	Homo sapiens OX=9606	Histone deacetylase complex subunit SAP18 	1:Experimental evidence at protein level	1.0000	0.9988	5	6	6	6	14	14	14	     0	     0	     0	6M(15.9949)		
30	a	sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	26.10	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	16	21	21	21	     0	     0	     0	1C(57.0215), 2C(57.0215), 5C(57.0215), 6C(57.0215), 8C(57.0215), N-term(42.0106)		
31	a	sp|O00458|IFRD1_HUMAN	O00458	IFRD1_HUMAN	IFRD1	451	8.00	Homo sapiens OX=9606	Interferon-related developmental regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	6	6	6	     0	     0	     0	3C(57.0215)		
32	a	sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	7.20	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	8	8	8	     0	     0	     0			
33	a	sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	1.50	Homo sapiens OX=9606	Agrin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0	13C(57.0215), 2C(57.0215), 4C(57.0215)		
34	a	sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	46.90	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9982	4	4	4	4	5	5	5	     0	     0	     0	9C(57.0215)		
35	a	sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	8.10	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	3	3	4	3	3	     0	     0	     0	N-term(42.0106)		
36	a	sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	13.50	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 5A 	2:Experimental evidence at transcript level	1.0000	0.9990	8	6	6	6	9	9	9	     0	     0	     0	11C(57.0215), 5C(57.0215)		
37	a	sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	17.30	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	16	16	16	     0	     0	     0	13C(57.0215)		
38	a	sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	6.20	Homo sapiens OX=9606	U3 small nucleolar ribonucleoprotein protein MPP10 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	3	     0	     0	     0			
39	a	sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	31.10	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	17	20	20	20	30	30	30	     0	     0	     0	3C(57.0215), 4M(15.9949), 6M(15.9949), 8C(57.0215), 9C(57.0215)		
40	a	sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	13.10	Homo sapiens OX=9606	Podocalyxin 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	6	6	11	11	11	     0	     0	     0	1C(57.0215)		
41	a	sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	23.10	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	8	8	8	     0	     0	     0			
42	a	sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	7.90	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	5	4	5	6	5	6	     0	     0	     0	8C(57.0215)		
43	a	sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	11.80	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 6 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	6	6	6	     0	     0	     0			
44	a	sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	22.10	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	5C(57.0215)		
45	a	sp|O14530|TXND9_HUMAN	O14530	TXND9_HUMAN	TXNDC9	226	17.30	Homo sapiens OX=9606	Thioredoxin domain-containing protein 9 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	3	3	3	3	3	     0	     0	     0			
46	a	sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	5.80	Homo sapiens OX=9606	Acyl carrier protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	2	2	2	2	     0	     0	     0	8M(15.9949)		
47	a	sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	9.40	Homo sapiens OX=9606	Ubiquitin domain-containing protein UBFD1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
48	a	sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	7.10	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	9	9	9	     0	     0	     0	8M(15.9949)		
49	a	sp|O14639|ABLM1_HUMAN	O14639	ABLM1_HUMAN	ABLIM1	778	8.50	Homo sapiens OX=9606	Actin-binding LIM protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	4	4	5	5	5	     0	     0	     0			
50	a	sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	6.10	Homo sapiens OX=9606	Disintegrin and metalloproteinase domain-containing protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	6	6	6	     0	     0	     0	10C(57.0215), 14C(57.0215), 2C(57.0215), 3C(57.0215), 4C(57.0215), 6C(57.0215), 9C(57.0215)		
51	a	sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	23.00	Homo sapiens OX=9606	Prostaglandin E synthase 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	5	6	6	6	     0	     0	     0	7C(57.0215)		
52	a	sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	20.30	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	11	12	12	12	22	22	22	     0	     0	     0	3M(15.9949), N-term(42.0106)		
53	a	sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	32.70	Homo sapiens OX=9606	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	11	11	19	19	19	     0	     0	     0	8C(57.0215), 9M(15.9949)		
54	a	sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	5.00	Homo sapiens OX=9606	Tripeptidyl-peptidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
55	a	sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	11.20	Homo sapiens OX=9606	Transcription elongation regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	13	13	23	22	22	     0	     0	     0			
56	a	sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	22.80	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	8	8	8	     0	     0	     0			
57	a	sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	333	17.40	Homo sapiens OX=9606	PDZ domain-containing protein GIPC1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0			
58	a	sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	19.80	Homo sapiens OX=9606	Histone acetyltransferase type B catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	8	8	8	     0	     0	     0	1C(57.0215), 2C(57.0215), 6M(15.9949), 7C(57.0215)		
59	a	sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	777	8.20	Homo sapiens OX=9606	Hepatocyte growth factor-regulated tyrosine kinase substrate 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	5	5	5	5	5	     0	     0	     0	10C(57.0215), 2C(57.0215), 5C(57.0215), 7C(57.0215)		
60	a	sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	19.20	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9990	17	16	16	16	29	29	29	     0	     0	     0	7C(57.0215)		
61	a	sp|O14976|GAK_HUMAN	O14976	GAK_HUMAN	GAK	1311	2.20	Homo sapiens OX=9606	Cyclin-G-associated kinase 	1:Experimental evidence at protein level	1.0000	0.9981	3	3	3	3	3	3	3	     0	     0	     0			
62	a	sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	22.90	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D-like 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	7	7	13	11	11	     0	     0	     0	3C(57.0215)		
63	a	sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	10.20	Homo sapiens OX=9606	Protein transport protein Sec16A 	1:Experimental evidence at protein level	1.0000	0.9990	19	19	19	19	26	26	26	     0	     0	     0	7C(57.0215), 8C(57.0215)		
64	a	sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	2.20	Homo sapiens OX=9606	Plexin-B2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	7C(57.0215)		
65	a	sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	10.70	Homo sapiens OX=9606	U2 snRNP-associated SURP motif-containing protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	7	7	9	9	9	     0	     0	     0			
66	a	sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	16.90	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	21	22	22	22	29	29	29	     0	     0	     0	15C(57.0215), 1C(57.0215), 2C(57.0215), 5C(57.0215)		
67	a	sp|O15118|NPC1_HUMAN	O15118	NPC1_HUMAN	NPC1	1278	3.10	Homo sapiens OX=9606	NPC intracellular cholesterol transporter 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	14C(57.0215)		
68	a	sp|O15119|TBX3_HUMAN	O15119	TBX3_HUMAN	TBX3	743	3.20	Homo sapiens OX=9606	T-box transcription factor TBX3 	1:Experimental evidence at protein level	1.0000	0.9985	2	2	2	2	3	3	3	     0	     0	     0	10C(57.0215)		
69	a	sp|O15126|SCAM1_HUMAN	O15126	SCAM1_HUMAN	SCAMP1	338	16.60	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0			
70	a	sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	19.90	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	9	9	9	     0	     0	     0	11C(57.0215), 4C(57.0215)		
71	a	sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	31.30	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	12	12	12	     0	     0	     0	9M(15.9949)		
72	a	sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	17.40	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	2	5	5	5	     0	     0	     0			
73	a	sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	17.90	Homo sapiens OX=9606	DNA-directed RNA polymerases I and III subunit RPAC1 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	10	10	10	     0	     0	     0	9M(15.9949), N-term(42.0106)		
74	a	sp|O15164|TIF1A_HUMAN	O15164	TIF1A_HUMAN	TRIM24	1050	2.40	Homo sapiens OX=9606	Transcription intermediary factor 1-alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	4	4	4	     0	     0	     0			
75	a	sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	20.60	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	3	3	7	6	6	     0	     0	     0			
76	a	sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	33.30	Homo sapiens OX=9606	Prefoldin subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0			
77	a	sp|O15213|WDR46_HUMAN	O15213	WDR46_HUMAN	WDR46	610	18.20	Homo sapiens OX=9606	WD repeat-containing protein 46 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	7	     0	     0	     0	2C(57.0215), 7C(57.0215)		
78	a	sp|O15226|NKRF_HUMAN	O15226	NKRF_HUMAN	NKRF	690	13.30	Homo sapiens OX=9606	NF-kappa-B-repressing factor 	1:Experimental evidence at protein level	1.0000	0.9990	9	7	7	7	8	8	8	     0	     0	     0	7C(57.0215)		
79	a	sp|O15258|RER1_HUMAN	O15258	RER1_HUMAN	RER1	196	18.90	Homo sapiens OX=9606	Protein RER1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	N-term(42.0106)		
80	a	sp|O15269|SPTC1_HUMAN	O15269	SPTC1_HUMAN	SPTLC1	473	6.80	Homo sapiens OX=9606	Serine palmitoyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	5	5	5	     0	     0	     0	6C(57.0215)		
81	a	sp|O15270|SPTC2_HUMAN	O15270	SPTC2_HUMAN	SPTLC2	562	9.60	Homo sapiens OX=9606	Serine palmitoyltransferase 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	7	7	7	     0	     0	     0	10C(57.0215), 2C(57.0215), 5C(57.0215)		
82	a	sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	6.10	Homo sapiens OX=9606	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	4	4	6	6	6	     0	     0	     0	N-term(42.0106)		
83	a	sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	25.60	Homo sapiens OX=9606	Phosphomannomutase 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	7	7	7	     0	     0	     0			
84	a	sp|O15344|TRI18_HUMAN	O15344	TRI18_HUMAN	MID1	667	9.70	Homo sapiens OX=9606	E3 ubiquitin-protein ligase Midline-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	8	8	8	     0	     0	     0	10C(57.0215), 13C(57.0215), 2C(57.0215), 3C(57.0215), 5C(57.0215), 6C(57.0215), 8C(57.0215)		
85	a	sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	23.50	Homo sapiens OX=9606	High mobility group protein B3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0	6M(15.9949)		
86	a	sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	35.70	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9990	13	14	14	14	22	22	22	     0	     0	     0	1C(57.0215), 21C(57.0215)		
87	a	sp|O15357|SHIP2_HUMAN	O15357	SHIP2_HUMAN	INPPL1	1258	6.60	Homo sapiens OX=9606	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	7	7	7	     0	     0	     0	13C(57.0215), 9C(57.0215)		
88	a	sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	18.10	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit D 	1:Experimental evidence at protein level	1.0000	0.9990	8	9	9	9	12	12	12	     0	     0	     0	12C(57.0215), 13C(57.0215), 14M(15.9949), 2C(57.0215)		
89	a	sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	23.00	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit H 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	10	10	10	     0	     0	     0			
90	a	sp|O15381|NVL_HUMAN	O15381	NVL_HUMAN	NVL	856	4.80	Homo sapiens OX=9606	Nuclear valosin-containing protein-like 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0	5C(57.0215)		
91	a	sp|O15382|BCAT2_HUMAN	O15382	BCAT2_HUMAN	BCAT2	392	7.90	Homo sapiens OX=9606	Branched-chain-amino-acid aminotransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	5	5	5	     0	     0	     0	12C(57.0215), 2C(57.0215), 9C(57.0215)		
92	a	sp|O15397|IPO8_HUMAN	O15397	IPO8_HUMAN	IPO8	1037	6.20	Homo sapiens OX=9606	Importin-8 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	7	7	7	     0	     0	     0	12C(57.0215), 3C(57.0215)		
93	a	sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	13.80	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	4C(57.0215)		
94	a	sp|O15427|MOT4_HUMAN	O15427	MOT4_HUMAN	SLC16A3	465	11.00	Homo sapiens OX=9606	Monocarboxylate transporter 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	12	12	12	     0	     0	     0			
