Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
11	a	sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	17.40	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	5	5	5	5	     0	     0	     0			
12	a	sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	27.00	Homo sapiens OX=9606	Synaptosomal-associated protein 23 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	5	5	5	     0	     0	     0			
13	a	sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	26.70	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	7	7	7	     0	     0	     0	13C(57.0215), 9C(57.0215)		
14	a	sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	11.70	Homo sapiens OX=9606	GTP-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	3	3	3	3	3	     0	     0	     0	2C(57.0215)		
15	a	sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	21.30	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0			
16	a	sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	47.60	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	16	19	19	19	     0	     0	     0			
17	a	sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	30.90	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	12	12	12	     0	     0	     0	5C(57.0215), 6C(57.0215)		
18	a	sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	17.50	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	5	5	5	     0	     0	     0	11C(57.0215), 5C(57.0215)		
19	a	sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	25.00	Homo sapiens OX=9606	Copper transport protein ATOX1 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	2	3	3	3	     0	     0	     0	2C(57.0215)		
20	a	sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	22.90	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	16	17	17	17	22	22	22	     0	     0	     0	7C(57.0215)		
21	a	sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	25.10	Homo sapiens OX=9606	DNA fragmentation factor subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	7	7	7	     0	     0	     0	9C(57.0215)		
22	a	sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	65.10	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	10	11	32	30	32	     0	     0	     0	10C(57.0215), 12C(57.0215), 2C(57.0215), 4C(57.0215), 7C(57.0215), 8C(57.0215)		
23	a	sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	27.70	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	5	     0	     0	     0			
24	a	sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	6.60	Homo sapiens OX=9606	Pyruvate dehydrogenase protein X component, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
25	a	sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	40.30	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	26	30	29	30	39	37	39	     0	     0	     0	11C(57.0215), 14C(57.0215), 17C(57.0215), 1C(57.0215), 2C(57.0215), 4C(57.0215), 5C(57.0215), 9C(57.0215)		
26	a	sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	36.60	Homo sapiens OX=9606	Histone deacetylase complex subunit SAP18 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0			
27	a	sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	23.70	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	8	9	13	10	12	     0	     0	     0	8C(57.0215)		
28	a	sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	34.10	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	15	22	22	22	     0	     0	     0	1C(57.0215), 5C(57.0215), 6C(57.0215), N-term(42.0106)		
29	a	sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	20.50	Homo sapiens OX=9606	RNA 3'-terminal phosphate cyclase 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	3	3	4	4	4	     0	     0	     0			
30	a	sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	42.30	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	6	8	8	8	9	9	9	     0	     0	     0	15C(57.0215)		
31	a	sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	11.70	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	2	2	3	2	2	     0	     0	     0	19C(57.0215)		
32	a	sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	16.50	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	13C(57.0215), 1C(57.0215), 9C(57.0215)		
33	a	sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	24.20	Homo sapiens OX=9606	U3 small nucleolar ribonucleoprotein protein MPP10 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	11	15	15	15	     0	     0	     0	7C(57.0215)		
34	a	sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	23.70	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	11	11	11	     0	     0	     0	3C(57.0215)		
35	a	sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	11.30	Homo sapiens OX=9606	Ribonuclease T2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	12C(57.0215), 4C(57.0215)		
36	a	sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	35.90	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	10	11	15	14	15	     0	     0	     0	10C(57.0215), 16C(57.0215), 19C(57.0215), 27C(57.0215), 8C(57.0215)		
37	a	sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	33.70	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	8	10	10	10	     0	     0	     0			
38	a	sp|O14530|TXND9_HUMAN	O14530	TXND9_HUMAN	TXNDC9	226	15.00	Homo sapiens OX=9606	Thioredoxin domain-containing protein 9 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	7C(57.0215)		
39	a	sp|O14545|TRAD1_HUMAN	O14545	TRAD1_HUMAN	TRAFD1	582	9.10	Homo sapiens OX=9606	TRAF-type zinc finger domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	5	6	6	6	     0	     0	     0	12C(57.0215), 16C(57.0215)		
40	a	sp|O14548|COX7R_HUMAN	O14548	COX7R_HUMAN	COX7A2L	114	40.40	Homo sapiens OX=9606	Cytochrome c oxidase subunit 7A-related protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
41	a	sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	14.70	Homo sapiens OX=9606	Acyl carrier protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	5	5	5	     0	     0	     0	3C(57.0215)		
42	a	sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	25.60	Homo sapiens OX=9606	Ubiquitin domain-containing protein UBFD1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0	32C(57.0215), N-term(42.0106)		
43	a	sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	64.60	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	11	15	15	15	     0	     0	     0	11C(57.0215), 14C(57.0215), 1C(57.0215)		
44	a	sp|O14602|IF1AY_HUMAN	O14602	IF1AY_HUMAN	EIF1AY	144	16.70	Homo sapiens OX=9606	Eukaryotic translation initiation factor 1A, Y-chromosomal 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	6	6	6	     0	     0	     0			sp|P47813|IF1AX_HUMAN
45	a	sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	8.70	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	5	5	7	7	7	     0	     0	     0	17C(57.0215)		
46	a	sp|O14646|CHD1_HUMAN	O14646	CHD1_HUMAN	CHD1	1710	4.10	Homo sapiens OX=9606	Chromodomain-helicase-DNA-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0			
47	a	sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	36.00	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	N-term(42.0106)		
48	a	sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	30.80	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	12	13	13	13	17	17	17	     0	     0	     0	12C(57.0215), 13C(57.0215), 21C(57.0215), 7C(57.0215)		
49	a	sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	19.80	Homo sapiens OX=9606	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0			
50	a	sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	10.50	Homo sapiens OX=9606	Tripeptidyl-peptidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	5	5	5	     0	     0	     0			
51	a	sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	13.90	Homo sapiens OX=9606	Transcription elongation regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	12	12	12	     0	     0	     0	15C(57.0215)		
52	a	sp|O14787|TNPO2_HUMAN	O14787	TNPO2_HUMAN	TNPO2	897	11.60	Homo sapiens OX=9606	Transportin-2 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	7	7	7	     0	     0	     0	1C(57.0215), 2C(57.0215)		
53	a	sp|O14802|RPC1_HUMAN	O14802	RPC1_HUMAN	POLR3A	1390	4.00	Homo sapiens OX=9606	DNA-directed RNA polymerase III subunit RPC1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0	7C(57.0215)		
54	a	sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	9.50	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
55	a	sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	209	23.00	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim23 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0			sp|Q5SRD1|TI23B_HUMAN
56	a	sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	25.10	Homo sapiens OX=9606	Histone acetyltransferase type B catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	8	9	9	9	     0	     0	     0	1C(57.0215), 7C(57.0215)		
57	a	sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	14.60	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	7	7	8	8	8	     0	     0	     0	11C(57.0215), 7C(57.0215)		
58	a	sp|O14976|GAK_HUMAN	O14976	GAK_HUMAN	GAK	1311	1.30	Homo sapiens OX=9606	Cyclin-G-associated kinase 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	2	2	2	2	     0	     0	     0			
59	a	sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	21.20	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D-like 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	7	7	14	13	13	     0	     0	     0	3C(57.0215)		
60	a	sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	43.70	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	30	34	34	34	46	46	46	     0	     0	     0	12C(57.0215), 17C(57.0215), 18C(57.0215), 1C(57.0215), 2C(57.0215), 6C(57.0215)		
61	a	sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	2.90	Homo sapiens OX=9606	Protein transport protein Sec16A 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0	14C(57.0215), 7C(57.0215), 8C(57.0215)		
62	a	sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	15.20	Homo sapiens OX=9606	U2 snRNP-associated SURP motif-containing protein 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	11	13	13	13	     0	     0	     0	2C(57.0215)		
63	a	sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	29.80	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	21	24	24	24	29	29	29	     0	     0	     0	13C(57.0215), 15C(57.0215), 1C(57.0215), 2C(57.0215), 33C(57.0215), 35C(57.0215), 4C(57.0215), 5C(57.0215), 6C(57.0215), 7C(57.0215), 9C(57.0215)		
64	a	sp|O15116|LSM1_HUMAN	O15116	LSM1_HUMAN	LSM1	133	26.30	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0			
65	a	sp|O15127|SCAM2_HUMAN	O15127	SCAM2_HUMAN	SCAMP2	329	9.70	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
66	a	sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	10.30	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
67	a	sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	20.80	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
68	a	sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	19.70	Homo sapiens OX=9606	DNA-directed RNA polymerases I and III subunit RPAC1 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	5	6	6	6	     0	     0	     0			
69	a	sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	42.60	Homo sapiens OX=9606	Prefoldin subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	5	     0	     0	     0			
70	a	sp|O15213|WDR46_HUMAN	O15213	WDR46_HUMAN	WDR46	610	9.30	Homo sapiens OX=9606	WD repeat-containing protein 46 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	2C(57.0215)		
71	a	sp|O15226|NKRF_HUMAN	O15226	NKRF_HUMAN	NKRF	690	14.50	Homo sapiens OX=9606	NF-kappa-B-repressing factor 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	7	     0	     0	     0	13C(57.0215), 1C(57.0215), 5C(57.0215), 7C(57.0215)		
72	a	sp|O15247|CLIC2_HUMAN	O15247	CLIC2_HUMAN	CLIC2	247	41.30	Homo sapiens OX=9606	Chloride intracellular channel protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	8	8	8	     0	     0	     0	11C(57.0215), 13C(57.0215), 14C(57.0215), 7C(57.0215), N-term(42.0106)		
73	a	sp|O15269|SPTC1_HUMAN	O15269	SPTC1_HUMAN	SPTLC1	473	7.60	Homo sapiens OX=9606	Serine palmitoyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
74	a	sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	7.50	Homo sapiens OX=9606	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	5	     0	     0	     0	9C(57.0215)		
75	a	sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	13.00	Homo sapiens OX=9606	Phosphomannomutase 2 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	5	5	5	     0	     0	     0	8C(57.0215), N-term(42.0106)		
76	a	sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	35.30	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9990	10	12	12	12	18	18	18	     0	     0	     0	21C(57.0215)		
77	a	sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	30.80	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit D 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	11	11	11	     0	     0	     0	12C(57.0215), 13C(57.0215), 16C(57.0215), 17C(57.0215), 18C(57.0215), 1C(57.0215), 2C(57.0215)		
78	a	sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	23.30	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit H 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	8	8	8	     0	     0	     0	14C(57.0215)		
79	a	sp|O15381|NVL_HUMAN	O15381	NVL_HUMAN	NVL	856	6.20	Homo sapiens OX=9606	Nuclear valosin-containing protein-like 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	16C(57.0215), 5C(57.0215), 8C(57.0215)		
80	a	sp|O15382|BCAT2_HUMAN	O15382	BCAT2_HUMAN	BCAT2	392	7.70	Homo sapiens OX=9606	Branched-chain-amino-acid aminotransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0	12C(57.0215), 9C(57.0215)		
81	a	sp|O15397|IPO8_HUMAN	O15397	IPO8_HUMAN	IPO8	1037	10.40	Homo sapiens OX=9606	Importin-8 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	8	8	8	     0	     0	     0	12C(57.0215), 3C(57.0215)		
82	a	sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	16.50	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	2	2	2	2	     0	     0	     0			
83	a	sp|O15446|RPA34_HUMAN	O15446	RPA34_HUMAN	CD3EAP	510	20.00	Homo sapiens OX=9606	DNA-directed RNA polymerase I subunit RPA34 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0	26C(57.0215), 5C(57.0215)		
84	a	sp|O15479|MAGB2_HUMAN	O15479	MAGB2_HUMAN	MAGEB2	319	21.30	Homo sapiens OX=9606	Melanoma-associated antigen B2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	6	6	6	     0	     0	     0	7C(57.0215)		
85	a	sp|O15514|RPB4_HUMAN	O15514	RPB4_HUMAN	POLR2D	142	39.40	Homo sapiens OX=9606	DNA-directed RNA polymerase II subunit RPB4 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	4	4	4	     0	     0	     0	10C(57.0215), 5C(57.0215)		
86	a	sp|O15541|R113A_HUMAN	O15541	R113A_HUMAN	RNF113A	343	8.50	Homo sapiens OX=9606	E3 ubiquitin-protein ligase RNF113A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	1C(57.0215), 4C(57.0215), 7C(57.0215)		
87	a	sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	31.30	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	16	18	18	18	22	22	22	     0	     0	     0	14C(57.0215), 4C(57.0215), 8C(57.0215)		
88	a	sp|O43148|MCES_HUMAN	O43148	MCES_HUMAN	RNMT	476	18.30	Homo sapiens OX=9606	mRNA cap guanine-N7 methyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0			
89	a	sp|O43156|TTI1_HUMAN	O43156	TTI1_HUMAN	TTI1	1089	5.80	Homo sapiens OX=9606	TELO2-interacting protein 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0	17C(57.0215)		
90	a	sp|O43159|RRP8_HUMAN	O43159	RRP8_HUMAN	RRP8	456	13.60	Homo sapiens OX=9606	Ribosomal RNA-processing protein 8 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0			
91	a	sp|O43164|PJA2_HUMAN	O43164	PJA2_HUMAN	PJA2	708	12.10	Homo sapiens OX=9606	E3 ubiquitin-protein ligase Praja-2 	1:Experimental evidence at protein level	1.0000	0.9989	5	5	5	5	5	5	5	     0	     0	     0	10C(57.0215), 1C(57.0215), N-term(42.0106)		
92	a	sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	16.70	Homo sapiens OX=9606	U4/U6 small nuclear ribonucleoprotein Prp4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	5	     0	     0	     0	16C(57.0215), 1C(57.0215)		
